method,noise_abs,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim,converged
Random,0.0,1,5165.086400654345,5539.209017780553,0.34125644322702314,3.967310870219876,999134.1869430672,true
Random,0.0,2,5962.793106325529,6005.803888450528,0.4961037573293727,31.03590366356537,4.7297022097808175e-6,true
Random,0.0,3,5651.265160690145,5861.775656154793,0.4399177914948877,31.664980608171557,3.730290344377355e-6,true
Random,0.0,4,2473.5178144832225,3449.525321818265,0.28685635745631477,33.25407481154612,1.047416205938899e-6,true
Random,0.0,5,2767.424614186386,3789.1400892927254,0.22105598722785844,34.017749871750034,5.798699054511019e-7,true
FIM,0.0,1,4653.6510506527575,5982.319146895949,0.3689871650956227,4.375069417808177,1.0000191905699365e6,true
FIM,0.0,2,2405.966651155169,3509.928992774062,0.294804591496263,32.70364098605492,1.0575165545259267e-6,true
FIM,0.0,3,2894.8557435954476,4048.9879674327995,0.1955555905951975,33.532793711844604,6.106541949075901e-7,true
FIM,0.0,4,2794.5609055754676,3869.6591714334895,0.21433561168457582,33.84556970378303,5.832234644508138e-7,true
FIM,0.0,5,2917.7925973077936,4003.41168266015,0.19130999892357178,34.094224046982376,4.782222223117887e-7,true
GIM,0.0,1,5051.185128872031,5549.53274508638,0.33100424389540684,4.497298440813626,1.0017423820516835e6,true
GIM,0.0,2,3237.618520229791,4326.369509215565,0.146601349034787,32.90434810279214,7.390118976239254e-7,true
GIM,0.0,3,2894.855743615493,4048.987967453515,0.19555559059181962,33.532793711844604,6.106541949075874e-7,true
GIM,0.0,4,2794.560905609266,3869.6591714775245,0.21433561167779888,33.84556970378303,5.832234644508138e-7,true
GIM,0.0,5,2917.792597403016,4003.4116827662506,0.19130999890679792,34.094224046982376,4.782222223117887e-7,true
Random,0.05,1,1.620847968755045e-9,6396.809972273609,0.8243311311901843,-27.630939039728894,1.9999179271685067e6,true
Random,0.05,2,917.3061811532531,9999.999999999884,1.1924633272761807,-27.63083166523107,1.9998105670391503e6,true
Random,0.05,3,9999.999999999998,9994.130062614482,1.4992664373738187,-27.63047332288386,1.9994523560311445e6,true
Random,0.05,4,9999.999725160445,9999.999999999998,1.4999999656450558,-27.630413358698693,1.9993924246307174e6,true
Random,0.05,5,9999.99972515898,9999.999999999998,1.4999999656448724,-27.63019536659162,1.9991745846195593e6,true
FIM,0.05,1,1200.6177190498645,4964.528670580141,0.5234159648187531,-27.630662706426442,1.999641654718908e6,true
FIM,0.05,2,811.6492600196857,4.656993146041353e-11,0.9042534980775,-27.630346256880475,1.9993253660663287e6,true
FIM,0.05,3,709.6976473385151,1.0e-12,0.9155955980250248,-27.630073328418945,1.9990526579036117e6,true
FIM,0.05,4,9641.449780956224,9999.999999999998,1.4558712558019489,-27.629855410113088,1.998834965365426e6,true
