method,noise_abs,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim,converged
FIM,0.05,5,9999.999999999998,9999.822492108273,1.4999778116776457,-27.62964449094021,1.9986243126356893e6,true
GIM,0.05,1,9999.99999999997,3.8378092296536504e-12,1.2747548783981915,-27.630662706426442,1.999641654718908e6,true
GIM,0.05,2,443.588317685987,1.0e-12,0.9461775740793119,-27.630346256880475,1.9993253660663287e6,true
GIM,0.05,3,9999.999999999998,1.0e-12,1.2747548783981957,-27.630073328418945,1.9990526579036117e6,true
GIM,0.05,4,86.04855102649674,1.0e-12,0.989302404868605,-27.629855410113088,1.998834965365426e6,true
GIM,0.05,5,1009.6522786834239,1.0e-12,0.8828607530066538,-27.62964449094021,1.9986243126356893e6,true
Random,0.1,1,9999.999999999969,1.2214770827812058e-11,1.2747548783981903,-27.63099426907184,1.9999731535036685e6,true
Random,0.1,2,9999.999999999998,6187.289475990614,1.1289408096167408,-27.6309046570135,1.999883547821083e6,true
Random,0.1,3,9999.999999999998,6187.289475987356,1.1289408096165434,-27.630825516571537,1.9998044195664097e6,true
Random,0.1,4,9999.999999999998,6187.289475980724,1.128940809616142,-27.63080500084449,1.999783908003461e6,true
Random,0.1,5,9999.73673136008,9999.999999999998,1.4999670917810093,-27.630752217092244,1.9997311369843474e6,true
FIM,0.1,1,9999.999999999984,3.2870359120701785e-12,1.2747548783981935,-27.630931501509423,1.9999103895961284e6,true
FIM,0.1,2,554.6225650180079,1.0e-12,0.9332507981091397,-27.630852358943415,1.9998312570939618e6,true
FIM,0.1,3,1.0e-12,0.0017347050078884586,0.9999997831618973,-27.63078408549675,1.9997629974328142e6,true
FIM,0.1,4,1994.2132252108652,9999.999999999998,1.118357900365517,-27.63072956355534,1.9997084896242302e6,true
FIM,0.1,5,1994.213225210687,9999.999999999998,1.118357900365527,-27.630676783756538,1.9996557265098037e6,true
GIM,0.1,1,3142.497640232147,2844.673191709683,0.25434292371236505,-27.630931501509423,1.9999103895961284e6,true
GIM,0.1,2,9999.999999999987,5.457918015594562e-12,1.2747548783981937,-27.630852358943415,1.9998312570939618e6,true
GIM,0.1,3,9999.999999999998,1.0e-12,1.2747548783981957,-27.63078408549675,1.9997629974328142e6,true
GIM,0.1,4,9999.999999999998,9999.999960372774,1.4999999950465965,-27.63072956355534,1.9997084896242302e6,true
GIM,0.1,5,9999.999999999998,9999.999960341733,1.4999999950427163,-27.630676783756538,1.9996557265098037e6,true
Random,0.2,1,9999.999999999985,1.2228507083721466e-12,1.274754878398194,-27.63101598596871,1.9999948700533167e6,true
Random,0.2,2,9999.999999999904,1.0e-12,1.274754878398182,-27.630996198105375,1.9999750824844458e6,true
Random,0.2,3,1.0e-12,21.174894907845662,0.9973566503655986,-27.63099244839178,1.9999713328690496e6,true
Random,0.2,4,6936.354531883474,9999.999999999998,1.180865386286057,-27.630970044660906,1.9999489300159167e6,true
Random,0.2,5,9999.999999999998,9997.884963406548,1.4997356437287785,-27.6309568462946,1.9999357324053757e6,true
FIM,0.2,1,9999.999999999985,1.0e-12,1.274754878398194,-27.630998711570875,1.9999775958933015e6,true
FIM,0.2,2,117.24827512059461,1.0e-12,0.9854529567198715,-27.630978924042214,1.9999578089937568e6,true
FIM,0.2,3,9999.999999999996,1.0e-12,1.2747548783981957,-27.630961853095364,1.9999407389087677e6,true
FIM,0.2,4,9131.439307825478,9999.999999999998,1.3956592233812888,-27.630948219959585,1.999927106656638e6,true
FIM,0.2,5,9999.999999999998,9997.174133434946,1.4996468082804235,-27.630935021880823,1.9999139096211432e6,true
GIM,0.2,1,1.0049527044840594e-10,6275.228698698735,0.8134929630799967,-27.630998711570875,1.9999775958933015e6,true
GIM,0.2,2,51.10207191310489,5.048406011894939e-11,0.9936327736903194,-27.630978924042214,1.9999578089937568e6,true
GIM,0.2,3,9999.999999999929,1.0e-12,1.2747548783981857,-27.630961853095364,1.9999407389087677e6,true
GIM,0.2,4,1.0e-12,25.535967306937806,0.9968131148059234,-27.630948219959585,1.999927106656638e6,true
GIM,0.2,5,9999.999999999998,8535.88957686024,1.3296415665211871,-27.630935021880823,1.9999139096211432e6,true
