method,noise_abs,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim,converged
Random,1.0e-5,3,1841.769747277451,2306.5150502104875,0.48495647674979636,-15.0739642842427,38566.04973556164,true
Random,1.0e-5,4,2384.7985938052375,3078.9937810010283,0.3286871631015729,-13.470022108445061,11346.178847747087,true
Random,1.0e-5,5,2548.837532679061,3292.6779478340104,0.28538225418075785,-13.112879152149153,8616.647651602405,true
Random,1.0e-5,6,3088.7539858873365,4021.187135626843,0.161130594642231,-12.08745432602652,4740.711009603436,true
Random,1.0e-5,7,3115.501218702809,4017.1849745873556,0.15638828055793771,-11.910833402588167,4734.595781904434,true
FIM,1.0e-5,1,3000.0,3000.0,0.25,-18.206910382468802,1.0000807533800972e6,false
FIM,1.0e-5,2,3000.0,3000.0,0.25,-12.365642835354759,4103.878066656648,false
FIM,1.0e-5,3,2594.052801875803,3594.7706247788965,0.25865628559292764,-11.682287681565885,3172.726417700437,true
FIM,1.0e-5,4,2258.0709383063268,3227.3994354596125,0.3368618266580679,-11.134600912906365,2191.7700490142324,true
FIM,1.0e-5,5,2318.0764269099013,3292.2978608790304,0.32257311300272307,-10.836391142354877,1888.9699504665757,true
FIM,1.0e-5,6,2257.56800344673,3171.7714288905413,0.3410476427776729,-10.612407277677683,1730.1866388972921,true
FIM,1.0e-5,7,2406.9374123638713,3348.257299708492,0.3042725420731585,-10.398940685073303,1506.6901782870718,true
GIM,1.0e-5,1,3000.0,3000.0,0.25,-18.206910382468802,1.0000807533800972e6,false
GIM,1.0e-5,2,3000.0,3000.0,0.25,-12.365642835354759,4103.878066656648,false
GIM,1.0e-5,3,2600.18363437006,3602.7513552341507,0.2572263317132962,-11.682287681565885,3172.726417700437,true
GIM,1.0e-5,4,2256.0503588382844,3222.70151849518,0.33752561385479396,-11.134600912906365,2191.7700490142324,true
GIM,1.0e-5,5,2311.993112167182,3287.0924431844405,0.32392150080766896,-10.836391142354877,1888.9699504665757,true
GIM,1.0e-5,6,2261.2690908353325,3173.7565483092317,0.3403060853824496,-10.612407277677683,1730.1866388972921,true
GIM,1.0e-5,7,2418.278888444471,3365.0959057729638,0.30129641154967274,-10.398940685073303,1506.6901782870718,true
Random,0.0001,1,3000.0,3000.0,0.25,-24.811080262285255,1.0596094682875504e6,false
Random,0.0001,2,3000.0,3000.0,0.25,-23.10644195422889,929323.8099190054,false
Random,0.0001,3,2099.6838040217276,2743.996201513992,0.4026764825246119,-22.70480274935111,809123.0426176727,true
Random,0.0001,4,2561.7030629234214,3308.665296695681,0.2821038013301098,-21.92414210930561,539211.6384566325,true
Random,0.0001,5,2482.3161235843627,3181.0632820689484,0.304857635663132,-21.703771436369173,469061.9561349938,true
Random,0.0001,6,3328.1312535916195,4238.844587121424,0.1260523637716649,-20.91180376322895,324653.29897609795,true
Random,0.0001,7,3263.381940601385,4195.228228539768,0.1347126834520136,-20.735786167932343,324045.96786252444,true
FIM,0.0001,1,3000.0,3000.0,0.25,-22.804117771177346,1.0080112911009851e6,false
