method,noise_abs,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim,converged
Random,0.0,1,3000.0,3000.0,0.25,3.022245630270138,999149.4887020262,false
Random,0.0,2,3000.0,3000.0,0.25,29.866480199597056,9.497302606230844e-6,false
Random,0.0,3,1705.0914738795423,2064.0096830331627,0.5307619420067757,31.095676571274304,3.6181053142290946e-6,true
Random,0.0,4,2294.1235541337364,2976.013893263825,0.35171730459943,32.702280127067255,1.0678624378278474e-6,true
Random,0.0,5,2464.7465326798283,3207.625852676511,0.3054126306258283,33.06105002979886,8.116805927559964e-7,true
FIM,0.0,1,3000.0,3000.0,0.25,4.375069417808177,1.0000191905699365e6,false
FIM,0.0,2,3000.0,3000.0,0.25,32.70364098605492,1.0575165545259267e-6,false
FIM,0.0,3,2894.855743615639,4048.9879674538993,0.19555559059179684,33.532793711844604,6.106541949075901e-7,true
FIM,0.0,4,2794.5609056216836,3869.659171480697,0.21433561167555618,33.84556970378303,5.832234644508138e-7,true
FIM,0.0,5,2917.7925974003565,4003.411682763241,0.19130999890726633,34.094224046982376,4.782222223117887e-7,true
GIM,0.0,1,3000.0,3000.0,0.25,4.497298440813626,1.0017423820516835e6,false
GIM,0.0,2,3000.0,3000.0,0.25,32.90434810279214,7.390118976239254e-7,false
GIM,0.0,3,2894.8557435804905,4048.987967418342,0.19555559059772581,33.532793711844604,6.106541949075874e-7,true
GIM,0.0,4,2794.560905717235,3869.6591715972136,0.21433561165654855,33.84556970378303,5.832234644508138e-7,true
GIM,0.0,5,2917.7925973842093,4003.4116827443518,0.19130999891011022,34.094224046982376,4.782222223117887e-7,true
Random,1.0e-5,1,3000.0,3000.0,0.25,-20.00396895956637,1.0004870946228248e6,false
Random,1.0e-5,2,3000.0,3000.0,0.25,-16.094482164381546,86754.17990329782,false
Random,1.0e-5,3,1677.9957822178205,2015.2088826563902,0.5399970881543115,-14.920480379183605,34923.62703873865,true
Random,1.0e-5,4,2287.483637767369,2964.6719461702346,0.3537573528370741,-13.33879910144202,10567.03129311308,true
Random,1.0e-5,5,2457.6513555240012,3194.2840568150214,0.30761265833732615,-12.98256735348286,8052.319874387012,true
FIM,1.0e-5,1,3000.0,3000.0,0.25,-18.530178309678156,1.0001115717355658e6,false
FIM,1.0e-5,2,3000.0,3000.0,0.25,-13.139990302357766,7336.919809895853,false
FIM,1.0e-5,3,2899.583502352685,4054.6214652146796,0.19476748740137084,-12.512819903657533,6070.020373769992,true
FIM,1.0e-5,4,3043.154535510588,4208.723206865833,0.17312555234553725,-12.264711182279665,5054.387389226124,true
FIM,1.0e-5,5,2935.051030470091,4021.799493362258,0.18829759737029855,-11.952706833938155,4759.771155656519,true
GIM,1.0e-5,1,3000.0,3000.0,0.25,-18.530178309678156,1.0001115717355658e6,false
GIM,1.0e-5,2,3000.0,3000.0,0.25,-13.139990302357766,7336.919809895853,false
GIM,1.0e-5,3,2892.1875273263518,4043.496099806968,0.19598631850445264,-12.512819903657533,6070.020373769992,true
GIM,1.0e-5,4,3042.8695164262667,4204.780444318935,0.17302761637972247,-12.264711182279665,5054.387389226124,true
GIM,1.0e-5,5,2930.649315600036,4018.9049243228733,0.18906581876346037,-11.952706833938155,4759.771155656519,true
Random,0.0001,1,3000.0,3000.0,0.25,-24.562043399281354,1.0464686346960478e6,false
Random,0.0001,2,3000.0,3000.0,0.25,-23.0343075802947,915783.0732663445,false
Random,0.0001,3,1807.6372678962052,2304.578513836258,0.4899269194502152,-22.629629826720702,791646.5587908363,true
Random,0.0001,4,2213.781645994858,2868.923883603756,0.373744113217304,-21.830216963745208,520896.88053950923,true
Random,0.0001,5,2507.2467368192165,3269.153076411635,0.29381379788351153,-21.604320921485368,451771.924808008,true
FIM,0.0001,1,3000.0,3000.0,0.25,-23.124363450993044,1.0110352822164283e6,false
FIM,0.0001,2,3000.0,3000.0,0.25,-21.801433435221746,429590.30081613467,false
FIM,0.0001,3,3379.7207892626907,4439.646182058188,0.13440087712130558,-21.532702694103435,362054.8776312298,true
FIM,0.0001,4,3060.0623755624265,4118.35467685039,0.16747113252790288,-21.337043514503595,335623.3781433827,true
FIM,0.0001,5,2728.098064460247,3775.5138698825194,0.22831779909295924,-20.885913401760288,306893.9253896121,true
GIM,0.0001,1,3000.0,3000.0,0.25,-23.124363450993044,1.0110352822164283e6,false
GIM,0.0001,2,3000.0,3000.0,0.25,-21.801433435221746,429590.30081613467,false
GIM,0.0001,3,3270.350565809503,4319.149731170267,0.140784059791113,-21.532702694103435,362054.8776312298,true
GIM,0.0001,4,2993.0409082142874,4127.848808660518,0.179435915650078,-21.067945838218385,339201.64019478165,true
GIM,0.0001,5,2695.97378351848,3763.0051015156746,0.23429755088206636,-20.885913401760284,306893.92538961093,true
Random,0.001,1,3000.0,3000.0,0.25,-27.44437648378006,1.8297385464038516e6,false
Random,0.001,2,3000.0,3000.0,0.25,-26.99497016724974,1.528883835692312e6,false
Random,0.001,3,978.7637383786757,83.54572731936416,0.8744012704869472,-26.861033278666287,1.4615386400035662e6,true
Random,0.001,4,1636.7679960392513,2285.117965411612,0.5161663339315372,-26.631183041031356,1.3620749921663692e6,true
Random,0.001,5,2481.858105793586,3290.201030370549,0.29625629678074294,-26.575068524401345,1.3399242504176758e6,true
FIM,0.001,1,3000.0,3000.0,0.25,-26.99117748783408,1.5273748842112264e6,false
FIM,0.001,2,3000.0,3000.0,0.25,-26.636411063194636,1.3639648576420634e6,false
FIM,0.001,3,1799.8876550540226,2137.7301460422937,0.5095507622940815,-26.4092841697951,1.2880886661863404e6,true
FIM,0.001,4,2345.8227523518744,3098.8181039375936,0.33299921060470256,-26.253278009749565,1.2395403815715506e6,true
FIM,0.001,5,2452.9522993614673,3603.404848205858,0.28232540525504374,-26.126210714653357,1.2088710499655844e6,true
GIM,0.001,1,3000.0,3000.0,0.25,-26.99117748783408,1.5273748842112264e6,false
GIM,0.001,2,3000.0,3000.0,0.25,-26.636411063194636,1.3639648576420634e6,false
GIM,0.001,3,1257.5264587646982,1405.3312233620547,0.6673985687174575,-26.4092841697951,1.2880886661863404e6,true
GIM,0.001,4,4420.860176657951,5204.094537871952,0.22548329652864746,-26.253278009749565,1.2395403815715506e6,true
GIM,0.001,5,2560.3438873776136,3767.2812602877834,0.25780126396268427,-26.126210714653357,1.2088710499655844e6,true
