method,noise_abs,order,candidate_index,Y1_in,Y2_in,Y3_in,Temperature
Random,0.0,1,1,0.10700000000000001,0.10700000000000001,0.786,306.0
Random,0.0,2,2,0.28200000000000003,0.22366666666666668,0.4943333333333333,366.0
Random,0.0,3,3,0.1945,0.3403333333333333,0.46516666666666673,426.0
Random,0.0,4,4,0.36949999999999994,0.1458888888888889,0.4846111111111111,486.0
Random,0.0,5,5,0.15075,0.26255555555555554,0.5866944444444444,546.0
Random,0.0,6,6,0.32575,0.37922222222222224,0.2950277777777778,318.0
Random,0.0,7,7,0.23825,0.18477777777777776,0.5769722222222222,378.0
FIM,0.0,1,12,0.39137500000000003,0.35329629629629633,0.25532870370370364,390.0
FIM,0.0,2,20,0.3804375,0.24959259259259256,0.36996990740740743,582.0
FIM,0.0,3,6,0.32575,0.37922222222222224,0.2950277777777778,318.0
FIM,0.0,4,16,0.435125,0.19774074074074074,0.36713425925925924,342.0
FIM,0.0,5,24,0.42418749999999994,0.40514814814814815,0.17066435185185191,534.0
FIM,0.0,6,14,0.34762499999999996,0.2755185185185185,0.37685648148148154,510.0
FIM,0.0,7,10,0.303875,0.11996296296296297,0.5761620370370371,558.0
GIM,0.0,1,12,0.39137500000000003,0.35329629629629633,0.25532870370370364,390.0
GIM,0.0,2,20,0.3804375,0.24959259259259256,0.36996990740740743,582.0
GIM,0.0,3,6,0.32575,0.37922222222222224,0.2950277777777778,318.0
GIM,0.0,4,16,0.435125,0.19774074074074074,0.36713425925925924,342.0
GIM,0.0,5,24,0.42418749999999994,0.40514814814814815,0.17066435185185191,534.0
GIM,0.0,6,14,0.34762499999999996,0.2755185185185185,0.37685648148148154,510.0
GIM,0.0,7,11,0.21637499999999998,0.23662962962962963,0.5469953703703704,330.0
Random,1.0e-5,1,1,0.10700000000000001,0.10700000000000001,0.786,306.0
Random,1.0e-5,2,2,0.28200000000000003,0.22366666666666668,0.4943333333333333,366.0
Random,1.0e-5,3,3,0.1945,0.3403333333333333,0.46516666666666673,426.0
Random,1.0e-5,4,4,0.36949999999999994,0.1458888888888889,0.4846111111111111,486.0
Random,1.0e-5,5,5,0.15075,0.26255555555555554,0.5866944444444444,546.0
Random,1.0e-5,6,6,0.32575,0.37922222222222224,0.2950277777777778,318.0
Random,1.0e-5,7,7,0.23825,0.18477777777777776,0.5769722222222222,378.0
FIM,1.0e-5,1,16,0.435125,0.19774074074074074,0.36713425925925924,342.0
FIM,1.0e-5,2,20,0.3804375,0.24959259259259256,0.36996990740740743,582.0
