method,noise_percent,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim,converged
Random,0.0,1,3000.0,3000.0,0.25,-10.53411940407091,1.0000043816054745e8,false
Random,0.0,2,3000.0,3000.0,0.25,11.386760596901752,0.09396861257040215,false
Random,0.0,3,2073.0023288025413,2350.6680125016,0.4483865530218406,12.531274704697394,0.03830013040169336,true
FIM,0.0,1,3000.0,3000.0,0.25,-9.78631290181917,1.0000421178555498e8,false
FIM,0.0,2,3000.0,3000.0,0.25,11.386760596901752,0.09396861257040215,false
FIM,0.0,3,2073.00253977272,2350.6684375731706,0.4483864758267872,12.531274704697394,0.03830013040169336,true
GIM,0.0,1,3000.0,3000.0,0.25,-9.78631290181917,1.0000421178555498e8,false
GIM,0.0,2,3000.0,3000.0,0.25,11.386760596901752,0.09396861257040215,false
GIM,0.0,3,2073.0025682910964,2350.668371839315,0.44838647955279204,12.531274704697394,0.03830013040169336,true
Random,5.0,1,3000.0,3000.0,0.25,-36.83077282209588,1.9894671967690426e8,false
Random,5.0,2,3000.0,3000.0,0.25,-36.808764976942044,1.967927664441002e8,false
Random,5.0,3,1.802867385550276e9,63421.39790930205,318704.23154199263,-36.79981670564058,1.9593021249393556e8,true
FIM,5.0,1,3000.0,3000.0,0.25,-36.8191233361846,1.9780072931953865e8,false
FIM,5.0,2,3000.0,3000.0,0.25,-36.808764976942044,1.967927664441002e8,false
FIM,5.0,3,57.486054381170185,2054.2966340161556,0.7771980482758203,-36.79981670564058,1.9593021249393556e8,true
GIM,5.0,1,3000.0,3000.0,0.25,-36.8191233361846,1.9780072931953865e8,false
GIM,5.0,2,3000.0,3000.0,0.25,-36.808764976942044,1.967927664441002e8,false
GIM,5.0,3,45011.679671363265,22328.154689272935,7.940952248826231,-36.79981670564058,1.9593021249393556e8,true
