method,noise_percent,order,candidate_index,Y1_in,Y2_in,Y3_in,Temperature
Random,0.0,1,1,0.15833333333333333,0.15833333333333333,0.6833333333333333,350.0
Random,0.0,2,2,0.3333333333333333,0.275,0.3916666666666666,410.0
Random,0.0,3,3,0.24583333333333332,0.3916666666666666,0.36250000000000004,470.0
FIM,0.0,1,2,0.3333333333333333,0.275,0.3916666666666666,410.0
FIM,0.0,2,1,0.15833333333333333,0.15833333333333333,0.6833333333333333,350.0
FIM,0.0,3,3,0.24583333333333332,0.3916666666666666,0.36250000000000004,470.0
GIM,0.0,1,2,0.3333333333333333,0.275,0.3916666666666666,410.0
GIM,0.0,2,1,0.15833333333333333,0.15833333333333333,0.6833333333333333,350.0
GIM,0.0,3,3,0.24583333333333332,0.3916666666666666,0.36250000000000004,470.0
Random,5.0,1,1,0.15833333333333333,0.15833333333333333,0.6833333333333333,350.0
Random,5.0,2,2,0.3333333333333333,0.275,0.3916666666666666,410.0
Random,5.0,3,3,0.24583333333333332,0.3916666666666666,0.36250000000000004,470.0
FIM,5.0,1,2,0.3333333333333333,0.275,0.3916666666666666,410.0
FIM,5.0,2,1,0.15833333333333333,0.15833333333333333,0.6833333333333333,350.0
FIM,5.0,3,3,0.24583333333333332,0.3916666666666666,0.36250000000000004,470.0
GIM,5.0,1,2,0.3333333333333333,0.275,0.3916666666666666,410.0
GIM,5.0,2,1,0.15833333333333333,0.15833333333333333,0.6833333333333333,350.0
GIM,5.0,3,3,0.24583333333333332,0.3916666666666666,0.36250000000000004,470.0
