method,noise_percent,order,candidate_index,Y1_in,Y2_in,Y3_in,Temperature
Random,0.0,1,1,0.12187500000000001,0.12187500000000001,0.75625,318.75
Random,0.0,2,2,0.296875,0.23854166666666665,0.46458333333333335,378.75
Random,0.0,3,3,0.209375,0.35520833333333335,0.4354166666666667,438.75
Random,0.0,4,4,0.384375,0.16076388888888887,0.45486111111111116,498.75
Random,0.0,5,5,0.165625,0.2774305555555555,0.5569444444444445,558.75
FIM,0.0,1,6,0.34062499999999996,0.3940972222222222,0.26527777777777783,330.75
FIM,0.0,2,4,0.384375,0.16076388888888887,0.45486111111111116,498.75
FIM,0.0,3,8,0.428125,0.3163194444444444,0.25555555555555565,450.75
FIM,0.0,4,2,0.296875,0.23854166666666665,0.46458333333333335,378.75
FIM,0.0,5,5,0.165625,0.2774305555555555,0.5569444444444445,558.75
GIM,0.0,1,6,0.34062499999999996,0.3940972222222222,0.26527777777777783,330.75
GIM,0.0,2,4,0.384375,0.16076388888888887,0.45486111111111116,498.75
GIM,0.0,3,8,0.428125,0.3163194444444444,0.25555555555555565,450.75
GIM,0.0,4,2,0.296875,0.23854166666666665,0.46458333333333335,378.75
GIM,0.0,5,5,0.165625,0.2774305555555555,0.5569444444444445,558.75
Random,5.0,1,1,0.12187500000000001,0.12187500000000001,0.75625,318.75
Random,5.0,2,2,0.296875,0.23854166666666665,0.46458333333333335,378.75
Random,5.0,3,3,0.209375,0.35520833333333335,0.4354166666666667,438.75
Random,5.0,4,4,0.384375,0.16076388888888887,0.45486111111111116,498.75
Random,5.0,5,5,0.165625,0.2774305555555555,0.5569444444444445,558.75
FIM,5.0,1,6,0.34062499999999996,0.3940972222222222,0.26527777777777783,330.75
FIM,5.0,2,8,0.428125,0.3163194444444444,0.25555555555555565,450.75
FIM,5.0,3,2,0.296875,0.23854166666666665,0.46458333333333335,378.75
FIM,5.0,4,4,0.384375,0.16076388888888887,0.45486111111111116,498.75
FIM,5.0,5,7,0.253125,0.1996527777777778,0.5472222222222223,390.75
GIM,5.0,1,6,0.34062499999999996,0.3940972222222222,0.26527777777777783,330.75
GIM,5.0,2,8,0.428125,0.3163194444444444,0.25555555555555565,450.75
GIM,5.0,3,2,0.296875,0.23854166666666665,0.46458333333333335,378.75
GIM,5.0,4,4,0.384375,0.16076388888888887,0.45486111111111116,498.75
GIM,5.0,5,7,0.253125,0.1996527777777778,0.5472222222222223,390.75
