method,noise_abs,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim,converged
GIM,0.0,4,3169.8403071399507,4308.039668076808,0.15653010420905875,34.11014998217374,3.9816597875158863e-7,true
GIM,0.0,5,3057.2382826643957,4129.702983019664,0.16822813003086176,34.420072745215144,3.6888149322271585e-7,true
GIM,0.0,6,3005.961642228114,4030.210171915128,0.17580394897521578,34.58658134016915,3.622140475557498e-7,true
GIM,0.0,7,2853.9152971479325,3831.510039844464,0.20477876879579748,34.73338394503847,3.2852509552852054e-7,true
Random,0.05,1,6983.275864824529,44.35013969801136,0.8758406801280928,-27.630807237447698,1.9997861443895197e6,true
Random,0.05,2,7.718728915589529,3.963888146644635e-9,0.9990356247936627,-27.63066400354418,1.9996429512331518e6,true
Random,0.05,3,49.8105930619671,8.643867032653565e-10,0.9937931806762934,-27.63039123016614,1.9993703097172286e6,true
Random,0.05,4,9999.999999999392,1.0e-12,1.2747548783981066,-27.63007347882149,1.999052807442478e6,true
Random,0.05,5,96.75397979065227,1019.4603798279541,0.8681687969818901,-27.6297115877853,1.9986913147240395e6,true
Random,0.05,6,4306.785154606264,9999.999999990634,1.0620457430558017,-27.629635075404828,1.9986149028996485e6,true
Random,0.05,7,9999.999999999789,1.0e-12,1.274754878398165,-27.629425955440144,1.9984060916975008e6,true
FIM,0.05,1,372.5624248911738,5900.77680901109,0.7239487170845085,-27.63065889173533,1.9996378414020424e6,true
FIM,0.05,2,2959.338093544273,8110.903752325916,0.7496354710881851,-27.63034105417477,1.9993201668063346e6,true
FIM,0.05,3,9999.999999999956,1.3236579124196272e-11,1.2747548783981886,-27.63006837051221,1.9990477046060408e6,true
FIM,0.05,4,9999.999999999998,1.0e-12,1.2747548783981957,-27.62985469127569,1.998834247252705e6,true
FIM,0.05,5,9999.999999999998,1.0e-12,1.2747548783981957,-27.629645526603216,1.9986253467576525e6,true
FIM,0.05,6,5552.156499793362,1.0e-12,0.7584768824725884,-27.6295024519739,1.9984824718739295e6,true
FIM,0.05,7,1870.9817914115235,1.0e-12,0.8010289970660643,-27.629396382446508,1.998376567606016e6,true
GIM,0.05,1,9999.999999999978,5.459005080089925e-12,1.2747548783981923,-27.63065889173533,1.9996378414020424e6,true
GIM,0.05,2,9999.999999999998,1394.7427422981007,1.1563326373011193,-27.63034105417477,1.9993201668063346e6,true
GIM,0.05,3,663.3689689433774,1.0e-12,0.92082005973972,-27.63006837051221,1.9990477046060408e6,true
GIM,0.05,4,356.0731596115701,1.0e-12,0.9565269667216523,-27.62985469127569,1.998834247252705e6,true
GIM,0.05,5,262.28617185621164,1.0e-12,0.9677697405164568,-27.629645526603216,1.9986253467576525e6,true
GIM,0.05,6,818.8810284964884,1.0e-12,0.9034572124424936,-27.6295024519739,1.9984824718739295e6,true
GIM,0.05,7,198.08840360182327,1.0e-12,0.9755532370600496,-27.629396382446508,1.998376567606016e6,true
Random,0.1,1,9999.999999990618,4.396775392707442e-9,1.2747548783963851,-27.630985297904388,1.9999641826172979e6,true
Random,0.1,2,1988.1231200799039,9999.999999999998,1.1186996997066085,-27.63095874043055,1.9999376264308202e6,true
Random,0.1,3,1988.1231200692127,9999.999999999998,1.1186996997072094,-27.630890520575477,1.9998694130466606e6,true
Random,0.1,4,8740.682539798614,9999.999999999998,1.351782052319634,-27.630799963749446,1.999778871842899e6,true
Random,0.1,5,9999.999999999998,9999.507859541542,1.4999384837042142,-27.630785341213738,1.9997642525172047e6,true
Random,0.1,6,9999.999999999998,9999.507859525365,1.4999384837021918,-27.63077477971265,1.9997536934992224e6,true
Random,0.1,7,9999.999931935237,9999.999999999998,1.4999999914919044,-27.630721318692384,1.999700246793431e6,true
FIM,0.1,1,9999.999999999975,7.543948732734465e-12,1.2747548783981917,-27.630930547578902,1.9999094357515448e6,true
FIM,0.1,2,1.0e-12,2680.1242245524286,0.7446071124805793,-27.630851057620593,1.999829955986713e6,true
FIM,0.1,3,9999.999999999998,2680.1242245550584,1.0860201434395444,-27.63078284515523,1.9997617573797798e6,true
FIM,0.1,4,506.21427681217597,1.0e-12,0.9388579944464289,-27.630729383709998,1.999708309824258e6,true
FIM,0.1,5,9999.999999999998,1.0e-12,1.2747548783981957,-27.630677042961533,1.9996559856182837e6,true
FIM,0.1,6,997.9824701975451,1.0e-12,0.8840975138743397,-27.63064123681147,1.9996201919792928e6,true
FIM,0.1,7,674.90956287043,1.0e-12,0.919514586872649,-27.630614688407178,1.999593653927927e6,true
GIM,0.1,1,2616.504975399888,3423.4936951279524,0.26495388765373445,-27.630930547578902,1.9999094357515448e6,true
GIM,0.1,2,9999.99999999998,1.0455383719959635e-11,1.2747548783981921,-27.630851057620593,1.999829955986713e6,true
GIM,0.1,3,1.0e-12,9142.351751562734,1.1516805863715034,-27.63078284515523,1.9997617573797798e6,true
GIM,0.1,4,9999.999999999998,9142.336899374126,1.3969120944366082,-27.630729383709998,1.999708309824258e6,true
GIM,0.1,5,9999.999999999998,9142.33689934663,1.396912094433445,-27.630677042961533,1.9996559856182837e6,true
GIM,0.1,6,9999.999999999998,9142.336899315536,1.396912094429868,-27.63064123681147,1.9996201919792928e6,true
GIM,0.1,7,9999.94365231501,9999.999999999998,1.4999929565559131,-27.630614688407178,1.999593653927927e6,true
Random,0.2,1,6.436372817395787e-11,5136.7229538582815,0.7351049898192217,-27.63101847493584,1.9999973590107786e6,true
Random,0.2,2,1.0e-12,5136.7229538582815,0.7351049898192324,-27.631005106225846,1.9999839904254489e6,true
Random,0.2,3,1.0e-12,5136.7229538582815,0.7351049898192324,-27.630996151742274,1.9999750361247044e6,true
Random,0.2,4,1.0e-12,5136.7229538582815,0.7351049898192324,-27.63097909572025,1.9999579806622928e6,true
Random,0.2,5,9999.999999999998,5136.7229538582205,1.0795273716108957,-27.630972456328863,1.9999513415698255e6,true
Random,0.2,6,9999.999999999998,5136.722953858201,1.0795273716108953,-27.630952582449204,1.9999314688487314e6,true
Random,0.2,7,1987.5565936540024,709.9013120912,0.6817871240333353,-27.630939494098786,1.9999183814718702e6,true
FIM,0.2,1,9999.999999999789,1.5312889102097307e-11,1.2747548783981635,-27.630998473072133,1.9999773573999288e6,true
FIM,0.2,2,1.0e-12,379.1858957433155,0.9537802219586565,-27.630978598671085,1.999957483636102e6,true
FIM,0.2,3,9999.999999999998,1.0e-12,1.2747548783981957,-27.630961542955887,1.999940428787325e6,true
FIM,0.2,4,9999.999999999998,1.0e-12,1.2747548783981957,-27.63094817498974,1.9999270616896302e6,true
FIM,0.2,5,9999.999999999998,1.0e-12,1.2747548783981957,-27.63093508670017,1.9999139744344573e6,true
FIM,0.2,6,9999.999999999998,1.0e-12,1.2747548783981957,-27.6309261328162,1.9999050213328474e6,true
FIM,0.2,7,407.02711604161937,1.0e-12,0.9504843197164702,-27.630919493773384,1.9998983829374686e6,true
GIM,0.2,1,1.194724793939865e-10,6312.769105836237,0.8167944382024309,-27.630998473072133,1.9999773573999288e6,true
GIM,0.2,2,9999.999999999998,6312.7430854474105,1.1367274928946909,-27.630978598671085,1.999957483636102e6,true
GIM,0.2,3,9999.171585150913,9999.999999999998,1.4998964517184392,-27.630961542955887,1.999940428787325e6,true
GIM,0.2,4,9999.999999999998,9999.999505176067,1.4999999381470093,-27.63094817498974,1.9999270616896302e6,true
GIM,0.2,5,9999.999999975338,9999.999999999998,1.4999999999969171,-27.63093508670017,1.9999139744344573e6,true
GIM,0.2,6,129.42840921785051,1.0e-12,0.9839544647646595,-27.6309261328162,1.9999050213328474e6,true
GIM,0.2,7,1.0e-12,2.401499901972316e-5,0.999999996998125,-27.630919493773384,1.9998983829374686e6,true
