method,noise_abs,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim,converged
Random,0.0,1,5183.683898850497,5517.145439227241,0.3401671398080439,3.955112630089065,1.002983111557648e6,true
Random,0.0,2,2773.1486100034344,3504.3691842825488,0.2339079839531757,30.82246246775071,2.7538450656151493e-6,true
Random,0.0,3,2824.5603592405455,3563.8318117567364,0.22163462595452893,32.142969055148534,1.1284601803840077e-6,true
Random,0.0,4,2886.1438413773512,3702.06031552163,0.2038261818996055,32.40103203665261,1.0970139791920722e-6,true
Random,0.0,5,2958.9992975928712,3982.8110966008894,0.18404974877837033,32.89213528562136,1.0838862724432728e-6,true
Random,0.0,6,2954.8461907111937,3978.2958842652815,0.18479867032384262,32.97352097142231,1.049704655541912e-6,true
Random,0.0,7,2537.919706077688,3371.7629862334493,0.28131168942019785,33.518784927151245,6.616172693322529e-7,true
FIM,0.0,1,5059.595565139034,5518.658926320533,0.3273505239110738,4.51066828607591,995492.0004544941,true
FIM,0.0,2,3417.4571144776005,4451.817071968881,0.13032350133361595,33.0741140302504,5.467783798985529e-7,true
FIM,0.0,3,3340.9456060805433,4394.995417656492,0.1358277947110523,33.708931643483396,4.124270790805452e-7,true
FIM,0.0,4,3169.8403071399507,4308.039668076808,0.15653010420905875,34.11014998217374,3.9816597875158863e-7,true
FIM,0.0,5,3057.2382826643957,4129.702983019664,0.16822813003086176,34.420072745215144,3.6888149322271585e-7,true
FIM,0.0,6,3005.961642228114,4030.210171915128,0.17580394897521578,34.58658134016915,3.622140475557498e-7,true
FIM,0.0,7,2853.9152971479325,3831.510039844464,0.20477876879579748,34.73338394503847,3.2852509552852054e-7,true
GIM,0.0,1,5059.595565139034,5518.658926320533,0.3273505239110738,4.51066828607591,995492.0004544941,true
GIM,0.0,2,3417.4571144776005,4451.817071968881,0.13032350133361595,33.0741140302504,5.467783798985529e-7,true
GIM,0.0,3,3340.9456060805433,4394.995417656492,0.1358277947110523,33.708931643483396,4.124270790805452e-7,true
