method,noise_abs,order,candidate_index,Y1_in,Y2_in,Y3_in,Temperature
FIM,0.05,1,6,0.33625,0.3897222222222222,0.27402777777777776,327.0
FIM,0.05,2,8,0.42374999999999996,0.3119444444444444,0.26430555555555557,447.0
FIM,0.05,3,2,0.2925,0.23416666666666666,0.4733333333333334,375.0
FIM,0.05,4,4,0.38,0.15638888888888888,0.4636111111111111,495.0
FIM,0.05,5,7,0.24875,0.19527777777777777,0.5559722222222222,387.0
FIM,0.05,6,10,0.314375,0.13046296296296298,0.555162037037037,567.0
FIM,0.05,7,3,0.20500000000000002,0.35083333333333333,0.4441666666666666,435.0
GIM,0.05,1,6,0.33625,0.3897222222222222,0.27402777777777776,327.0
GIM,0.05,2,8,0.42374999999999996,0.3119444444444444,0.26430555555555557,447.0
GIM,0.05,3,2,0.2925,0.23416666666666666,0.4733333333333334,375.0
GIM,0.05,4,4,0.38,0.15638888888888888,0.4636111111111111,495.0
GIM,0.05,5,7,0.24875,0.19527777777777777,0.5559722222222222,387.0
GIM,0.05,6,10,0.314375,0.13046296296296298,0.555162037037037,567.0
GIM,0.05,7,3,0.20500000000000002,0.35083333333333333,0.4441666666666666,435.0
Random,0.1,1,2,0.2925,0.23416666666666666,0.4733333333333334,375.0
Random,0.1,2,8,0.42374999999999996,0.3119444444444444,0.26430555555555557,447.0
Random,0.1,3,4,0.38,0.15638888888888888,0.4636111111111111,495.0
Random,0.1,4,1,0.11750000000000001,0.11750000000000001,0.765,315.0
Random,0.1,5,7,0.24875,0.19527777777777777,0.5559722222222222,387.0
Random,0.1,6,10,0.314375,0.13046296296296298,0.555162037037037,567.0
Random,0.1,7,6,0.33625,0.3897222222222222,0.27402777777777776,327.0
FIM,0.1,1,6,0.33625,0.3897222222222222,0.27402777777777776,327.0
FIM,0.1,2,8,0.42374999999999996,0.3119444444444444,0.26430555555555557,447.0
FIM,0.1,3,2,0.2925,0.23416666666666666,0.4733333333333334,375.0
FIM,0.1,4,4,0.38,0.15638888888888888,0.4636111111111111,495.0
FIM,0.1,5,7,0.24875,0.19527777777777777,0.5559722222222222,387.0
FIM,0.1,6,10,0.314375,0.13046296296296298,0.555162037037037,567.0
FIM,0.1,7,3,0.20500000000000002,0.35083333333333333,0.4441666666666666,435.0
GIM,0.1,1,6,0.33625,0.3897222222222222,0.27402777777777776,327.0
GIM,0.1,2,8,0.42374999999999996,0.3119444444444444,0.26430555555555557,447.0
GIM,0.1,3,2,0.2925,0.23416666666666666,0.4733333333333334,375.0
GIM,0.1,4,4,0.38,0.15638888888888888,0.4636111111111111,495.0
GIM,0.1,5,7,0.24875,0.19527777777777777,0.5559722222222222,387.0
GIM,0.1,6,10,0.314375,0.13046296296296298,0.555162037037037,567.0
GIM,0.1,7,3,0.20500000000000002,0.35083333333333333,0.4441666666666666,435.0
Random,0.2,1,9,0.139375,0.42861111111111105,0.4320138888888889,507.00000000000006
Random,0.2,2,5,0.16125,0.27305555555555555,0.5656944444444445,555.0
Random,0.2,3,8,0.42374999999999996,0.3119444444444444,0.26430555555555557,447.0
Random,0.2,4,1,0.11750000000000001,0.11750000000000001,0.765,315.0
Random,0.2,5,10,0.314375,0.13046296296296298,0.555162037037037,567.0
Random,0.2,6,4,0.38,0.15638888888888888,0.4636111111111111,495.0
Random,0.2,7,3,0.20500000000000002,0.35083333333333333,0.4441666666666666,435.0
FIM,0.2,1,6,0.33625,0.3897222222222222,0.27402777777777776,327.0
FIM,0.2,2,8,0.42374999999999996,0.3119444444444444,0.26430555555555557,447.0
FIM,0.2,3,2,0.2925,0.23416666666666666,0.4733333333333334,375.0
FIM,0.2,4,4,0.38,0.15638888888888888,0.4636111111111111,495.0
FIM,0.2,5,7,0.24875,0.19527777777777777,0.5559722222222222,387.0
FIM,0.2,6,10,0.314375,0.13046296296296298,0.555162037037037,567.0
FIM,0.2,7,3,0.20500000000000002,0.35083333333333333,0.4441666666666666,435.0
GIM,0.2,1,6,0.33625,0.3897222222222222,0.27402777777777776,327.0
GIM,0.2,2,8,0.42374999999999996,0.3119444444444444,0.26430555555555557,447.0
GIM,0.2,3,2,0.2925,0.23416666666666666,0.4733333333333334,375.0
GIM,0.2,4,4,0.38,0.15638888888888888,0.4636111111111111,495.0
GIM,0.2,5,7,0.24875,0.19527777777777777,0.5559722222222222,387.0
GIM,0.2,6,10,0.314375,0.13046296296296298,0.555162037037037,567.0
GIM,0.2,7,3,0.20500000000000002,0.35083333333333333,0.4441666666666666,435.0
