method,noise_abs,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim,converged
Random,0.0,1,4673.72642463761,5960.607842402783,0.36648202577625966,4.371437198822351,1.0043311015343138e6,true
Random,0.0,2,5001.336836496736,6212.399908047568,0.42929407218617993,28.831482227715412,2.711429144602091e-5,true
Random,0.0,3,1644.6837889706214,1995.5888825575585,0.5467282912261082,31.675287228078584,1.9137684932560858e-6,true
Random,0.0,4,1524.1040240444881,1676.3610227002998,0.6002436739717434,32.21198752907366,1.6553313048798914e-6,true
Random,0.0,5,2415.86259817769,3202.001085691048,0.31356287124208665,33.193398354276745,7.579190364941928e-7,true
Random,0.0,6,2477.2275765004842,3275.388489685288,0.2981137416454475,33.54624781665375,6.76855830975714e-7,true
Random,0.0,7,2482.2910421889014,3284.045549340143,0.2966495857931389,34.03924249895465,5.258536082987042e-7,true
FIM,0.0,1,5059.595565139034,5518.658926320533,0.3273505239110738,4.51066828607591,995492.0004544941,true
FIM,0.0,2,3417.4571144776005,4451.817071968881,0.13032350133361595,33.0741140302504,5.467783798985529e-7,true
FIM,0.0,3,3340.9456060805433,4394.995417656492,0.1358277947110523,33.708931643483396,4.124270790805452e-7,true
FIM,0.0,4,3169.8403071399507,4308.039668076808,0.15653010420905875,34.11014998217374,3.9816597875158863e-7,true
FIM,0.0,5,3057.2382826643957,4129.702983019664,0.16822813003086176,34.420072745215144,3.6888149322271585e-7,true
FIM,0.0,6,3005.961642228114,4030.210171915128,0.17580394897521578,34.58658134016915,3.622140475557498e-7,true
FIM,0.0,7,2853.9152971479325,3831.510039844464,0.20477876879579748,34.73338394503847,3.2852509552852054e-7,true
GIM,0.0,1,5059.595565139034,5518.658926320533,0.3273505239110738,4.51066828607591,995492.0004544941,true
GIM,0.0,2,3417.4571144776005,4451.817071968881,0.13032350133361595,33.0741140302504,5.467783798985529e-7,true
GIM,0.0,3,3340.9456060805433,4394.995417656492,0.1358277947110523,33.708931643483396,4.124270790805452e-7,true
GIM,0.0,4,3169.8403071399507,4308.039668076808,0.15653010420905875,34.11014998217374,3.9816597875158863e-7,true
GIM,0.0,5,3057.2382826643957,4129.702983019664,0.16822813003086176,34.420072745215144,3.6888149322271585e-7,true
GIM,0.0,6,3005.961642228114,4030.210171915128,0.17580394897521578,34.58658134016915,3.622140475557498e-7,true
GIM,0.0,7,2853.9152971479325,3831.510039844464,0.20477876879579748,34.73338394503847,3.2852509552852054e-7,true
Random,0.05,1,9999.999999999985,1.0e-12,1.274754878398194,-27.630962614653967,1.9999415004365828e6,true
Random,0.05,2,3.3651303965598345e-10,110.51981903309927,0.9862817814608629,-27.630920362074427,1.9998992512163767e6,true
Random,0.05,3,286.1492208409666,9999.999999999904,1.2474059033883451,-27.630843759150245,1.9998226584376146e6,true
Random,0.05,4,9999.999999999998,9998.508709892967,1.4998136003211133,-27.63073754827316,1.999716471722912e6,true
Random,0.05,5,9999.999949733963,9999.999999999998,1.499999993716745,-27.630419687381654,1.999398750488441e6,true
Random,0.05,6,9999.999949732663,9999.999999999998,1.4999999937165827,-27.630210404905675,1.9991896146174434e6,true
Random,0.05,7,9999.999949731104,9999.999999999998,1.4999999937163877,-27.630067253729216,1.9990465868185386e6,true
FIM,0.05,1,3.9707463061670864e-10,6312.462696955424,0.8167673269666363,-27.63065889173533,1.9996378414020424e6,true
FIM,0.05,2,9999.999999999107,1.9904713566112683e-10,1.2747548783980451,-27.63034105417477,1.9993201668063346e6,true
FIM,0.05,3,11.579919403994978,1858.2045414000108,0.8002886691254949,-27.63006837051221,1.9990477046060408e6,true
FIM,0.05,4,2456.7105232988933,9999.999999996255,1.0951846649203079,-27.62985469127569,1.998834247252705e6,true
FIM,0.05,5,9999.999999999998,1.0e-12,1.2747548783981957,-27.629645526603216,1.9986253467576525e6,true
FIM,0.05,6,734.1681307739998,9999.999999999998,1.2076016753007301,-27.6295024519739,1.9984824718739295e6,true
FIM,0.05,7,204.852771880944,1.0e-12,0.9747298100483369,-27.629396382446508,1.998376567606016e6,true
GIM,0.05,1,9999.999999999978,5.8594386407415156e-12,1.2747548783981923,-27.63065889173533,1.9996378414020424e6,true
GIM,0.05,2,9999.999999999998,9019.611750221691,1.3828921474007343,-27.63034105417477,1.9993201668063346e6,true
