method,noise_percent,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim
FIM,5.0,6,3.1690912786073766e29,7.16423554055767e31,1.2664822737920437e28,-27.63089154596536,1.9998704383397745e6
GIM,5.0,1,6028.580971405949,5723.54652186821,0.47056327186795205,-27.630950303229255,1.999929189807869e6
GIM,5.0,2,9037.458012271638,8491.215723206451,1.193039735006977,-27.630921143492245,1.9999000325136138e6
GIM,5.0,3,12050.742641455532,11206.75102764814,1.9101023978888043,-27.630908367614254,1.9998872579769525e6
GIM,5.0,4,15052.888591631447,13969.181309620208,2.631248053461854,-27.63090102258151,1.999879913792714e6
GIM,5.0,5,18076.311036347022,16698.099428917318,3.3512323362955567,-27.63089626096954,1.999875152760749e6
GIM,5.0,6,21098.19385156103,19439.792106972945,4.072527675213299,-27.63089154596536,1.9998704383397745e6
Random,10.0,1,2461.378007154213,3415.6829424009134,0.2909458745126615,-27.631021106625646,1.9999999906970952e6
Random,10.0,2,1990.0543738133226,3801.7086662621464,0.3570364509254662,-27.63101927015701,1.999998154230165e6
Random,10.0,3,1479.133070169836,4239.333457717626,0.44763442750105914,-27.63101807961189,1.9999969636879426e6
Random,10.0,4,989.320610247367,4593.814253040029,0.542471363155316,-27.631014885321697,1.9999937694124219e6
Random,10.0,5,481.70838157153673,5005.568867579918,0.6468564528681657,-27.63101453445111,1.999993418544048e6
Random,10.0,6,4.429274957286813e-9,5403.0805900704,0.7493462805630332,-27.63100724397934,1.9999861281455022e6
FIM,10.0,1,48746.867604060055,6757.220110171791,7.925205878854219,-27.63100341228362,1.9999822965117767e6
FIM,10.0,2,94705.583764816,10589.303933410529,16.076887381854764,-27.630996121891318,1.9999750062721698e6
FIM,10.0,3,140471.56498733856,14352.014074435574,24.19429959043212,-27.6309929276703,1.9999718121349977e6
FIM,10.0,4,186298.94170961683,18147.634091719156,32.32310498062853,-27.630991091253005,1.9999699757707443e6
FIM,10.0,5,232130.05048121678,21933.03856277158,40.45248516958521,-27.630989900741252,1.9999687852952483e6
FIM,10.0,6,277966.38748916035,25703.119191093756,48.58259939798519,-27.630988721880847,1.9999676064712987e6
